STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN,WDF5,WSF5
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-07,6.9,0.77,0.0,69.2,80.4,58.0,220,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-08,5.6,1.81,0.0,69.2,79.5,58.8,350,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-09,6.9,2.23,0.0,64.8,73.7,55.8,210,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-10,6.5,6.75,0.0,58.0,64.3,51.6,210,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-11,8.9,4.85,0.8,46.0,51.9,40.1,100,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2014-12,8.1,4.80,0.0,45.3,50.3,40.3,180,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-01,5.4,3.66,0.0,45.0,50.3,39.8,220,59
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-02,6.9,5.28,0.0,48.7,54.5,43.0,210,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-03,6.5,4.47,0.0,50.5,57.9,43.1,190,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-04,7.4,2.03,0.0,51.4,59.9,42.9,220,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-05,6.3,0.58,0.0,59.1,68.1,50.2,220,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-06,7.2,0.23,0.0,67.7,78.9,56.4,340,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-07,6.7,0.09,0.0,71.2,82.6,59.9,240,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-08,7.2,3.28,0.0,68.7,79.0,58.4,210,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-09,6.9,0.83,0.0,60.5,68.5,52.5,210,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-10,6.7,4.82,0.0,57.2,63.6,50.9,200,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-11,7.8,8.37,0.0,43.8,49.4,38.3,200,51
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2015-12,9.6,11.20,0.0,43.0,47.1,38.9,220,53
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-01,6.9,7.46,0.0,43.7,49.0,38.4,220,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-02,7.8,5.97,0.0,47.4,53.5,41.2,210,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-03,9.6,5.52,0.0,49.4,56.4,42.3,200,57
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-04,7.2,1.19,0.0,56.7,65.9,47.5,230,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-05,8.1,0.94,0.0,59.8,68.8,50.7,350,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-06,8.5,1.78,0.0,63.5,73.1,53.9,200,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-07,6.9,0.72,0.0,66.8,76.0,57.6,10,25
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-08,7.2,0.17,0.0,68.7,79.6,57.9,230,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-09,7.2,1.06,0.0,61.2,69.6,52.9,210,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-10,8.3,10.04,0.0,54.8,60.5,49.1,180,45
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-11,7.8,6.48,0.0,50.9,56.0,45.7,200,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2016-12,9.2,3.88,1.0,38.0,41.9,34.1,220,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-01,7.6,4.22,3.0,37.9,43.7,32.1,90,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-02,8.5,8.86,7.2,41.3,46.6,36.0,200,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-03,9.8,7.33,0.0,46.1,51.5,40.5,190,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-04,8.9,4.21,0.0,50.6,57.3,44.0,200,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-05,6.9,2.29,0.0,57.9,67.0,48.8,230,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-06,7.8,1.52,0.0,62.9,72.1,53.7,230,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-07,7.2,0.00,0.0,67.3,78.3,56.3,350,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-08,6.7,0.02,0.0,70.3,81.5,59.0,340,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-09,6.7,0.59,0.0,64.7,73.8,55.6,240,30
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-10,8.1,4.81,0.0,53.2,61.1,45.3,190,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-11,9.6,8.65,0.4,46.7,51.3,42.0,180,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2017-12,7.8,5.44,2.6,40.1,45.5,34.6,210,47
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-01,9.6,8.12,0.0,45.0,49.7,40.3,220,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-02,10.5,2.17,1.0,41.2,45.8,36.6,230,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-03,8.3,2.44,0.0,46.3,54.0,38.6,210,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-04,9.8,5.70,0.0,51.3,58.6,44.1,220,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-05,6.7,0.12,0.0,61.2,70.8,51.5,210,26
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-06,7.4,0.63,0.0,62.6,71.9,53.4,240,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-07,7.6,0.05,0.0,70.7,82.8,58.5,260,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-08,6.9,0.20,0.0,68.8,79.1,58.5,220,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-09,7.8,1.05,0.0,62.3,70.5,54.1,180,31
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-10,6.5,3.78,0.0,53.8,60.5,47.0,200,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-11,8.1,5.43,0.0,48.5,53.9,43.2,190,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2018-12,9.4,6.09,0.0,44.2,48.9,39.4,180,54
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-01,7.8,3.83,0.0,45.0,51.1,38.9,190,60
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-02,8.1,4.63,20.2,36.7,41.8,31.6,10,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-03,8.1,1.37,0.8,48.5,57.2,39.7,90,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-04,8.7,3.54,0.0,52.4,59.3,45.6,210,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-05,7.4,0.62,0.0,60.5,69.7,51.2,190,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-06,7.8,0.90,0.0,63.6,73.4,53.9,210,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-07,6.9,1.15,0.0,67.5,76.5,58.5,200,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-08,6.7,1.20,0.0,69.1,78.3,59.9,10,25
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-09,7.2,3.32,0.0,62.8,69.4,56.1,210,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-10,7.8,3.67,0.0,50.8,58.0,43.7,40,34
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-11,7.2,1.71,0.0,46.6,52.6,40.7,180,29
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2019-12,6.7,7.97,0.0,44.5,48.2,40.7,210,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-01,11.0,9.23,0.7,45.1,49.4,40.8,190,42
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-02,8.3,4.06,0.0,43.6,49.5,37.8,220,49
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-03,8.9,3.17,0.0,44.8,51.3,38.3,200,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-04,7.8,1.70,0.0,52.3,61.0,43.6,230,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-05,7.8,3.13,0.0,59.3,68.0,50.5,220,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-06,7.8,2.28,0.0,61.8,70.3,53.4,220,28
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-07,7.4,0.17,0.0,67.0,76.8,57.2,220,27
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-08,6.9,0.31,0.0,67.9,78.4,57.4,330,32
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-09,7.4,2.48,0.0,65.5,74.3,56.7,,
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-10,7.8,2.58,0.0,54.3,60.2,48.4,240,48
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-11,8.9,5.58,0.0,46.3,51.4,41.3,160,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2020-12,8.5,6.65,0.5,44.4,49.8,38.9,120,37
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-01,7.4,8.75,0.0,43.8,48.8,38.8,220,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-02,10.5,4.69,12.4,41.4,46.6,36.3,200,43
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-03,7.4,2.62,0.0,45.6,53.2,38.0,210,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-04,8.1,1.03,0.0,53.0,62.8,43.2,360,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-05,8.1,1.13,0.0,56.9,65.7,48.1,210,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-06,7.8,1.91,0.0,66.1,76.5,55.5,250,35
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-07,6.9,0.00,0.0,68.0,79.1,56.9,210,24
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-08,7.6,0.11,0.0,67.5,77.8,57.1,350,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-09,7.2,3.02,0.0,61.9,70.4,53.4,200,39
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-10,8.5,5.76,0.0,51.8,57.9,45.8,180,50
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-11,9.4,10.26,0.0,47.9,53.0,42.7,190,58
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2021-12,9.8,4.08,9.2,38.0,41.9,34.2,190,44
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-01,6.9,7.07,0.0,41.0,46.2,35.8,210,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-02,7.8,5.32,0.0,42.1,47.8,36.4,210,38
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-03,6.7,3.32,0.0,46.9,53.1,40.8,220,36
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-04,8.9,2.72,0.0,47.1,54.7,39.5,240,46
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-05,7.8,3.82,0.0,52.6,60.0,45.2,210,41
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-06,7.6,2.68,0.0,61.1,69.1,53.2,200,33
USW00024233,"SEATTLE TACOMA AIRPORT, WA US",47.44467,-122.31442,112.5,2022-07,,,,,,,,
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-01,8.3,1.20,,66.8,75.7,57.9,220,33
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-02,8.1,0.01,,71.7,79.1,64.4,240,32
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-03,9.8,1.33,,73.5,80.9,66.1,310,55
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-04,8.9,1.29,,79.1,85.5,72.7,310,43
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-05,9.4,0.24,,80.4,86.8,74.0,340,36
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-06,8.7,2.70,,83.2,89.5,76.9,220,48
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-07,7.4,3.87,,84.2,89.9,78.6,110,31
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-08,6.5,6.39,,84.5,91.0,77.9,290,40
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-09,6.5,6.31,,83.7,89.7,77.6,40,39
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-10,10.1,15.52,,78.3,84.0,72.5,210,48
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-11,11.6,0.43,,75.4,80.9,69.9,330,38
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2011-12,10.5,1.33,,73.5,79.1,68.0,90,31
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-01,8.3,0.20,,68.6,76.0,61.1,340,37
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-02,9.4,1.45,,72.8,79.0,66.6,350,31
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-03,11.6,1.63,,75.4,81.2,69.6,200,40
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-04,10.5,5.23,,75.0,81.9,68.2,260,41
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-05,7.6,7.72,,79.1,85.2,73.1,240,44
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-06,9.2,6.97,,82.4,88.2,76.6,300,51
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-07,6.7,9.87,,83.0,88.8,77.3,160,39
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-08,8.1,10.26,,83.8,89.7,78.0,130,51
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-09,6.9,7.59,,82.3,87.9,76.6,120,33
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-10,10.7,8.37,,79.0,84.7,73.3,10,48
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-11,8.9,0.83,,71.3,78.9,63.6,120,36
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2012-12,8.9,0.75,,72.1,79.1,65.2,230,35
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-01,8.7,0.98,,72.9,78.9,67.0,320,33
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-02,8.9,2.14,,71.3,78.5,64.1,250,37
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-03,9.4,0.09,,67.7,75.8,59.5,40,41
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-04,10.3,5.92,,77.4,82.9,71.9,30,30
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-05,10.1,15.65,,78.5,84.9,72.0,100,46
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-06,9.2,14.72,,82.9,88.6,77.3,140,37
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-07,8.9,15.50,0.0,81.7,87.3,76.0,130,45
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-08,8.5,2.04,0.0,83.5,88.6,78.4,140,36
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-09,6.9,3.73,,81.9,87.7,76.0,60,38
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-10,7.8,3.57,,79.8,85.5,74.1,80,40
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-11,11.0,10.92,,75.4,81.2,69.7,110,36
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2013-12,10.1,1.20,,74.0,79.2,68.9,50,30
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2014-01,8.5,4.16,,66.5,73.8,59.1,310,32
USW00012849,"FORT LAUDERDALE INTERNATIONAL AIRPORT, FL US",26.07875,-80.16223,1.0,2014-02,8.1,1.35,,73.9,81.6,66.3,260,36
